Idade,Faixa idade,Gênero,UF,Nível de Ensino,Área de Formação,Situação atual de trabalho,Setor,Número de Funcionários,Gestor?,Cargo como Gestor,Cargo Atual,Senioridade,Faixa salarial,Experiência na área de dados,Quanto tempo de experiência na área de TI/Engenharia de Software você teve antes de começar a trabalhar na área de dados?,Forma de trabalho,Forma de trabalho ideal,Qual o número aproximado de pessoas que atuam com dados na sua empresa hoje,Atuaçao,Quais das fontes de dados listadas você já analisou ou processou no trabalho,Dados relacionais,Dados em bancos NoSQL,Imagens,Textos/Documentos,Vídeos,Áudios,Planilhas,Dados georeferenciados,"Entre as fontes de dados listadas, quais você utiliza na maior parte do tempo?",Dados relacionais,Dados em bancos NoSQL,Imagens,Textos/Documentos,Vídeos,Áudios,Planilhas,Dados georeferenciados,Quais das linguagens listadas abaixo você utiliza no trabalho?,SQL,R,Python,C/C++/C#,.NET,Java,Julia,SAS/Stata,Visual Basic/VBA,Scala,Matlab,PHP,Javascript,Não utilizo nenhuma linguagem,"Entre as linguagens listadas abaixo, qual é a que você mais utiliza no trabalho?",SQL,R,Python,C/C++/C#,.NET,Java,Julia,SAS/Stata,Visual Basic/VBA,Scala,Matlab,PHP,Javascript,Não utilizo nenhuma linguagem,Quais dos bancos de dados/fontes de dados listados abaixo você utiliza no trabalho?,MySQL,Oracle,SQL SERVER,SAP,Amazon Aurora ou RDS,Amazon DynamoDB,CoachDB,Cassandra,MongoDB,MariaDB,Datomic,S3,PostgreSQL,ElasticSearch,DB2,Microsoft Access,SQLite,Sybase,Firebase,Vertica,Redis,Neo4J,Google BigQuery,Google Firestore,Amazon Redshift,Amazon Athena,Snowflake,Databricks,HBase,Presto,Splunk,SAP HANA,Hive,Firebird,Quais das opções de Cloud listadas abaixo você utiliza no trabalho?,AWS,Google Cloud,Azure,Oracle Cloud,IBM,Servidores On Premise/Não utilizamos Cloud,Cloud Própria
26,25-29,Feminino,MG,Graduação/Bacharelado,Estatística/ Matemática / Matemática Computacional,Empregado (CLT),Finanças ou Bancos,Acima de 3000,0,,Cientista de Dados/Data Scientist,Pleno,de R$ 8.001/mês a R$ 12.000/mês,de 4 a 5 anos,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados,Modelo 100% remoto,Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente),,Ciência de Dados,"Dados relacionais (estruturados em bancos SQL), Textos/Documentos, Planilhas, Dados georeferenciados",1,0,0,1,0,0,1,1,"Dados relacionais (estruturados em bancos SQL), Planilhas",1,0,0,0,0,0,1,0,"SQL, Python",1,0,1,0,0,0,0,0,0,0,0,0,0,0,Python,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"Databricks, Amazon Redshift, Amazon Athena, S3",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,Amazon Web Services (AWS),1,0,0,0,0,0,0
32,30-34,Masculino,SC,Pós-graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI,Empregado (CLT),Outro,Acima de 3000,0,,Analista de Dados/Data Analyst,Sênior,de R$ 8.001/mês a R$ 12.000/mês,de 4 a 5 anos,de 1 a 2 anos,Modelo 100% remoto,Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente),,Análise de Dados,"Dados relacionais (estruturados em bancos SQL), Dados armazenados em bancos NoSQL, Planilhas, Dados georeferenciados",1,1,0,0,0,0,1,1,"Dados relacionais (estruturados em bancos SQL), Planilhas",1,0,0,0,0,0,1,0,"SQL, Python",1,0,1,0,0,0,0,0,0,0,0,0,0,0,SQL,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"SAP HANA, SQL SERVER, MySQL, S3, PostgreSQL, MongoDB, Google BigQuery, Amazon Redshift, Snowflake",1,0,1,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,"Azure (Microsoft), Amazon Web Services (AWS)",1,0,1,0,0,0,0
40,40-44,Masculino,PI,Doutorado ou Phd,Marketing / Publicidade / Comunicação / Jornalismo,Servidor Público,Educação,de 1001 a 3000,0,,Outro,Pleno,de R$ 12.001/mês a R$ 16.000/mês,de 4 a 5 anos,Menos de 1 ano,Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente),Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente),,Ciência de Dados,"Dados relacionais (estruturados em bancos SQL), Textos/Documentos, Planilhas, Dados georeferenciados",1,0,0,1,0,0,1,1,"Dados relacionais (estruturados em bancos SQL), Planilhas",1,0,0,0,0,0,1,0,"R, Python",0,1,1,0,0,0,0,0,0,0,0,0,0,0,Python,0,0,1,0,0,0,0,0,0,0,0,0,0,0,SQL SERVER,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Google Cloud (GCP), Amazon Web Services (AWS)",1,1,0,0,0,0,0
32,30-34,Masculino,CE,Graduação/Bacharelado,Química / Física,Empregado (CLT),Finanças ou Bancos,Acima de 3000,0,,Analista de BI/BI Analyst/Analytics Engineer,Pleno,de R$ 4.001/mês a R$ 6.000/mês,de 4 a 5 anos,de 1 a 2 anos,Modelo 100% presencial,Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente),,Análise de Dados,"Dados relacionais (estruturados em bancos SQL), Textos/Documentos, Planilhas",1,0,0,1,0,0,1,0,"Dados relacionais (estruturados em bancos SQL), Planilhas",1,0,0,0,0,0,1,0,"SQL, Python",1,0,1,0,0,0,0,0,0,0,0,0,0,0,SQL,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"SQL SERVER, MySQL, Oracle, Microsoft Access",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Azure (Microsoft), Servidores On Premise/Não utilizamos Cloud",0,0,1,0,0,1,0
30,30-34,Masculino,SP,Mestrado,Outras Engenharias,Empregado (CLT),Finanças ou Bancos,Acima de 3000,0,,Cientista de Dados/Data Scientist,Sênior,de R$ 16.001/mês a R$ 20.000/mês,de 4 a 5 anos,Menos de 1 ano,Modelo 100% remoto,Modelo 100% remoto,,Ciência de Dados,"Dados relacionais (estruturados em bancos SQL), Textos/Documentos, Planilhas, Dados georeferenciados",1,0,0,1,0,0,1,1,"Dados relacionais (estruturados em bancos SQL), Planilhas",1,0,0,0,0,0,1,0,"SQL, Python, Scala",1,0,1,0,0,0,0,0,0,1,0,0,0,0,Python,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"S3, Google BigQuery, Databricks",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,"Google Cloud (GCP), Amazon Web Services (AWS)",1,1,0,0,0,0,0
32,30-34,Feminino,SC,Graduação/Bacharelado,Outras Engenharias,Empregado (CLT),Indústria,de 1001 a 3000,0,,Analista de Dados/Data Analyst,Pleno,de R$ 6.001/mês a R$ 8.000/mês,de 4 a 5 anos,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados,Modelo 100% presencial,Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente),,Ciência de Dados,"Dados relacionais (estruturados em bancos SQL), Planilhas, Dados georeferenciados, Textos/Documentos, Vídeos",1,0,0,1,1,0,1,1,"Dados relacionais (estruturados em bancos SQL), Planilhas",1,0,0,0,0,0,1,0,"SQL, Python",1,0,1,0,0,0,0,0,0,0,0,0,0,0,Python,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"Databricks, MySQL",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Azure (Microsoft),0,0,1,0,0,0,0
35,35-39,Masculino,GO,Graduação/Bacharelado,Economia/ Administração / Contabilidade / Finanças,Empregado (CLT),Tecnologia/Fábrica de Software,Acima de 3000,0,,Analista de BI/BI Analyst/Analytics Engineer,Júnior,de R$ 2.001/mês a R$ 3000/mês,Menos de 1 ano,de 6 a 10 anos,Modelo 100% remoto,Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente),,Análise de Dados,"Dados relacionais (estruturados em bancos SQL), Textos/Documentos, Planilhas",1,0,0,1,0,0,1,0,"Dados relacionais (estruturados em bancos SQL), Planilhas",1,0,0,0,0,0,1,0,"SQL, Visual Basic/VBA, Java",1,0,0,0,0,1,0,0,1,0,0,0,0,0,SQL,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"SQL SERVER, PostgreSQL",0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Azure (Microsoft),0,0,1,0,0,0,0
27,25-29,Feminino,CE,Pós-graduação,Economia/ Administração / Contabilidade / Finanças,Empregado (CLT),Tecnologia/Fábrica de Software,de 6 a 10,0,,Analista de BI/BI Analyst/Analytics Engineer,Júnior,de R$ 4.001/mês a R$ 6.000/mês,de 2 a 3 anos,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados,Modelo 100% remoto,Modelo 100% remoto,,Análise de Dados,"Dados relacionais (estruturados em bancos SQL), Textos/Documentos, Planilhas, Dados georeferenciados",1,0,0,1,0,0,1,1,"Planilhas, Dados relacionais (estruturados em bancos SQL)",1,0,0,0,0,0,1,0,SQL,1,0,0,0,0,0,0,0,0,0,0,0,0,0,SQL,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"Oracle, SQL SERVER",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Servidores On Premise/Não utilizamos Cloud,0,0,0,0,0,1,0
23,22-24,Masculino,MG,Graduação/Bacharelado,Computação / Engenharia de Software / Sistemas de Informação/ TI,Empregado (CLT),Internet/Ecommerce,de 1001 a 3000,0,,Engenheiro de Dados/Data Engineer,Júnior,de R$ 6.001/mês a R$ 8.000/mês,de 1 a 2 anos,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados,Modelo 100% remoto,Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente),,Engenharia de Dados,"Dados relacionais (estruturados em bancos SQL), Dados armazenados em bancos NoSQL, Textos/Documentos",1,1,0,1,0,0,0,0,"Dados relacionais (estruturados em bancos SQL), Textos/Documentos",1,0,0,1,0,0,0,0,"Python, Java, SQL",1,0,1,0,0,1,0,0,0,0,0,0,0,0,Python,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"Amazon Redshift, Elasticsearch, PostgreSQL, MongoDB, S3, Amazon Athena, DynamoDB, Amazon Aurora ou RDS",0,0,0,0,1,1,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,Amazon Web Services (AWS),1,0,0,0,0,0,0
29,25-29,Feminino,RS,Graduação/Bacharelado,Outras Engenharias,Empregado (CLT),Indústria,de 1001 a 3000,0,,Analista de Negócios/Business Analyst,Pleno,de R$ 6.001/mês a R$ 8.000/mês,Não tenho experiência na área de dados,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados,Modelo 100% presencial,Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente),,Análise de Dados,Planilhas,0,0,0,0,0,0,1,0,Planilhas,0,0,0,0,0,0,1,0,Não utilizo nenhuma das linguagens listadas,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Não utilizo nenhuma das linguagens listadas,0,0,0,0,0,0,0,0,0,0,0,0,0,1,PI Server,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Servidores On Premise/Não utilizamos Cloud,0,0,0,0,0,1,0
27,25-29,Masculino,SC,Graduação/Bacharelado,Computação / Engenharia de Software / Sistemas de Informação/ TI,Empregado (CLT),Tecnologia/Fábrica de Software,de 1001 a 3000,0,,Cientista de Dados/Data Scientist,Pleno,de R$ 8.001/mês a R$ 12.000/mês,de 4 a 5 anos,Menos de 1 ano,Modelo 100% remoto,Modelo 100% remoto,,Ciência de Dados,"Dados relacionais (estruturados em bancos SQL), Dados armazenados em bancos NoSQL, Planilhas, Dados georeferenciados",1,1,0,0,0,0,1,1,"Dados relacionais (estruturados em bancos SQL), Dados armazenados em bancos NoSQL",1,1,0,0,0,0,0,0,"Python, SQL, Scala",1,0,1,0,0,0,0,0,0,1,0,0,0,0,SQL,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"Firebase, MySQL, Amazon Aurora ou RDS, Amazon Redshift, Google BigQuery, Databricks, Amazon Athena",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,"Azure (Microsoft), Google Cloud (GCP)",0,1,1,0,0,0,0
43,40-44,Masculino,CE,Estudante de Graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI,Empregado (CLT),Varejo,de 51 a 100,0,,Suporte Técnico,Júnior,de R$ 4.001/mês a R$ 6.000/mês,Menos de 1 ano,Menos de 1 ano,Modelo 100% presencial,Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente),,Análise de Dados,"Dados relacionais (estruturados em bancos SQL), Planilhas",1,0,0,0,0,0,1,0,"Dados relacionais (estruturados em bancos SQL), Planilhas",1,0,0,0,0,0,1,0,SQL,1,0,0,0,0,0,0,0,0,0,0,0,0,0,SQL,1,0,0,0,0,0,0,0,0,0,0,0,0,0,SQL SERVER,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Servidores On Premise/Não utilizamos Cloud,0,0,0,0,0,1,0
26,25-29,Masculino,SP,Graduação/Bacharelado,Computação / Engenharia de Software / Sistemas de Informação/ TI,Empregado (CLT),Finanças ou Bancos,Acima de 3000,0,,Analista de Dados/Data Analyst,Júnior,de R$ 4.001/mês a R$ 6.000/mês,de 1 a 2 anos,Menos de 1 ano,Modelo 100% remoto,Modelo 100% remoto,,Análise de Dados,"Dados relacionais (estruturados em bancos SQL), Planilhas, Textos/Documentos",1,0,0,1,0,0,1,0,"Dados relacionais (estruturados em bancos SQL), Planilhas",1,0,0,0,0,0,1,0,"SQL, Python, Visual Basic/VBA, Scala",1,0,1,0,0,0,0,0,1,1,0,0,0,0,Scala,0,0,0,0,0,0,0,0,0,1,0,0,0,0,"Databricks, Google BigQuery, SQL SERVER",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,Azure (Microsoft),0,0,1,0,0,0,0
58,55+,Masculino,SP,Mestrado,Marketing / Publicidade / Comunicação / Jornalismo,Empreendedor ou Empregado (CNPJ),Energia,de 11 a 50,0,,Analista de Negócios/Business Analyst,Sênior,de R$ 8.001/mês a R$ 12.000/mês,Mais de 10 anos,Mais de 10 anos,Modelo 100% remoto,Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente),,Análise de Dados,"Textos/Documentos, Dados armazenados em bancos NoSQL, Dados relacionais (estruturados em bancos SQL), Planilhas, Dados georeferenciados",1,1,0,1,0,0,1,1,"Dados relacionais (estruturados em bancos SQL), Planilhas",1,0,0,0,0,0,1,0,Não utilizo nenhuma das linguagens listadas,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Não utilizo nenhuma das linguagens listadas,0,0,0,0,0,0,0,0,0,0,0,0,0,1,MariaDB,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Google Cloud (GCP), Cloud Própria, Azure (Microsoft)",0,1,1,0,0,0,1
34,30-34,Feminino,MG,Pós-graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI,Empregado (CLT),Internet/Ecommerce,de 1001 a 3000,0,,Analista de BI/BI Analyst/Analytics Engineer,Pleno,de R$ 8.001/mês a R$ 12.000/mês,de 4 a 5 anos,de 6 a 10 anos,Modelo 100% remoto,Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente),,Engenharia de Dados,"Dados relacionais (estruturados em bancos SQL), Textos/Documentos, Planilhas, Dados georeferenciados, API",1,0,0,1,0,0,1,1,"Dados relacionais (estruturados em bancos SQL), Dados armazenados em bancos NoSQL",1,1,0,0,0,0,0,0,"SQL, Python",1,0,1,0,0,0,0,0,0,0,0,0,0,0,SQL,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"Amazon Redshift, MySQL, PostgreSQL, S3, MariaDB, Amazon Athena, Amazon Aurora ou RDS",1,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,Amazon Web Services (AWS),1,0,0,0,0,0,0
40,40-44,Masculino,CE,Pós-graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI,Empreendedor ou Empregado (CNPJ),Tecnologia/Fábrica de Software,de 11 a 50,0,,DBA/Administrador de Banco de Dados,Pleno,de R$ 8.001/mês a R$ 12.000/mês,Mais de 10 anos,Mais de 10 anos,Modelo 100% remoto,Modelo 100% remoto,,Engenharia de Dados,Dados relacionais (estruturados em bancos SQL),1,0,0,0,0,0,0,0,"Dados relacionais (estruturados em bancos SQL), Planilhas",1,0,0,0,0,0,1,0,"SQL, Python",1,0,1,0,0,0,0,0,0,0,0,0,0,0,SQL,1,0,0,0,0,0,0,0,0,0,0,0,0,0,PostgreSQL,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Amazon Web Services (AWS), Servidores On Premise/Não utilizamos Cloud, IBM, DIGITAL OCEAN, LINODE",1,0,0,0,1,1,0
31,30-34,Masculino,SP,Pós-graduação,Economia/ Administração / Contabilidade / Finanças,Empregado (CLT),Finanças ou Bancos,Acima de 3000,0,,Analista de Dados/Data Analyst,Pleno,de R$ 4.001/mês a R$ 6.000/mês,de 1 a 2 anos,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados,Modelo híbrido com dias fixos de trabalho presencial,Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente),,Outra,"Dados relacionais (estruturados em bancos SQL), Planilhas",1,0,0,0,0,0,1,0,"Dados relacionais (estruturados em bancos SQL), Planilhas",1,0,0,0,0,0,1,0,"SQL, Python",1,0,1,0,0,0,0,0,0,0,0,0,0,0,SQL,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"Oracle, SQL SERVER",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,IBM,0,0,0,0,1,0,0
24,22-24,Feminino,CE,Pós-graduação,Economia/ Administração / Contabilidade / Finanças,Empregado (CLT),Setor Alimentício,Acima de 3000,0,,Analista de Dados/Data Analyst,Sênior,de R$ 4.001/mês a R$ 6.000/mês,de 2 a 3 anos,Menos de 1 ano,Modelo 100% remoto,Modelo 100% remoto,,Análise de Dados,"Dados relacionais (estruturados em bancos SQL), Planilhas, Dados georeferenciados",1,0,0,0,0,0,1,1,"Dados relacionais (estruturados em bancos SQL), Planilhas",1,0,0,0,0,0,1,0,"Python, SAS/Stata",0,0,1,0,0,0,0,1,0,0,0,0,0,0,Python,0,0,1,0,0,0,0,0,0,0,0,0,0,0,MySQL,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Servidores On Premise/Não utilizamos Cloud,0,0,0,0,0,1,0
31,30-34,Masculino,SE,Doutorado ou Phd,Química / Física,Empregado (CLT),Consultoria,de 101 a 500,0,,Cientista de Dados/Data Scientist,Sênior,de R$ 6.001/mês a R$ 8.000/mês,de 1 a 2 anos,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados,Modelo 100% remoto,Modelo 100% remoto,,Ciência de Dados,"Imagens, Textos/Documentos, Vídeos, Áudios, Planilhas, Dados relacionais (estruturados em bancos SQL), Dados armazenados em bancos NoSQL",1,1,1,1,1,1,1,0,"Imagens, Textos/Documentos",0,0,1,1,0,0,0,0,Python,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Python,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"MySQL, Google BigQuery",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"Google Cloud (GCP), Azure (Microsoft)",0,1,1,0,0,0,0
27,25-29,Masculino,SP,Graduação/Bacharelado,Computação / Engenharia de Software / Sistemas de Informação/ TI,Empregado (CLT),Consultoria,Acima de 3000,0,,Analista de BI/BI Analyst/Analytics Engineer,Sênior,de R$ 6.001/mês a R$ 8.000/mês,de 6 a 10 anos,Menos de 1 ano,Modelo 100% remoto,Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente),,Análise de Dados,"Dados relacionais (estruturados em bancos SQL), Planilhas, API",1,0,0,0,0,0,1,0,Dados relacionais (estruturados em bancos SQL),1,0,0,0,0,0,0,0,SQL,1,0,0,0,0,0,0,0,0,0,0,0,0,0,SQL,1,0,0,0,0,0,0,0,0,0,0,0,0,0,SQL SERVER,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Servidores On Premise/Não utilizamos Cloud,0,0,0,0,0,1,0
33,30-34,Masculino,SP,Estudante de Graduação,Estatística/ Matemática / Matemática Computacional,Empreendedor ou Empregado (CNPJ),Finanças ou Bancos,de 6 a 10,0,,Outro,Júnior,de R$ 4.001/mês a R$ 6.000/mês,de 2 a 3 anos,Menos de 1 ano,Modelo 100% remoto,Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente),,Ciência de Dados,"Planilhas, Dados relacionais (estruturados em bancos SQL)",1,0,0,0,0,0,1,0,"Dados relacionais (estruturados em bancos SQL), Planilhas",1,0,0,0,0,0,1,0,"Python, C/C++/C#",0,0,1,1,0,0,0,0,0,0,0,0,0,0,C/C++/C#,0,0,0,1,0,0,0,0,0,0,0,0,0,0,MySQL,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Amazon Web Services (AWS), Google Cloud (GCP)",1,1,0,0,0,0,0
24,22-24,Masculino,RN,Graduação/Bacharelado,Outras Engenharias,Empregado (CLT),Tecnologia/Fábrica de Software,de 1001 a 3000,0,,Analista de Dados/Data Analyst,Júnior,de R$ 8.001/mês a R$ 12.000/mês,de 1 a 2 anos,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados,Modelo 100% remoto,Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente),,Análise de Dados,"Dados relacionais (estruturados em bancos SQL), Planilhas",1,0,0,0,0,0,1,0,"Dados relacionais (estruturados em bancos SQL), Planilhas",1,0,0,0,0,0,1,0,"SQL, Python",1,0,1,0,0,0,0,0,0,0,0,0,0,0,SQL,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"S3, Hive, Presto, PostgreSQL, Databricks",0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,Servidores On Premise/Não utilizamos Cloud,0,0,0,0,0,1,0
30,30-34,Masculino,SP,Graduação/Bacharelado,Computação / Engenharia de Software / Sistemas de Informação/ TI,Empregado (CLT),Varejo,Acima de 3000,0,,Suporte Técnico,Pleno,de R$ 3.001/mês a R$ 4.000/mês,Menos de 1 ano,de 4 a 5 anos,Modelo 100% remoto,Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente),,Análise de Dados,Dados relacionais (estruturados em bancos SQL),1,0,0,0,0,0,0,0,Planilhas,0,0,0,0,0,0,1,0,Não utilizo nenhuma das linguagens listadas,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Não utilizo nenhuma das linguagens listadas,0,0,0,0,0,0,0,0,0,0,0,0,0,1,SQL SERVER,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Azure (Microsoft),0,0,1,0,0,0,0
32,30-34,Masculino,RS,Graduação/Bacharelado,Economia/ Administração / Contabilidade / Finanças,Empregado (CLT),Tecnologia/Fábrica de Software,de 1001 a 3000,0,,Suporte Técnico,Júnior,de R$ 2.001/mês a R$ 3000/mês,Menos de 1 ano,Menos de 1 ano,Modelo 100% remoto,Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente),,Outra,"Planilhas, Áudios, Textos/Documentos",0,0,0,1,0,1,1,0,"Planilhas, Textos/Documentos",0,0,0,1,0,0,1,0,SQL,1,0,0,0,0,0,0,0,0,0,0,0,0,0,SQL,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"SQL SERVER, MySQL",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Cloud Própria,0,0,0,0,0,0,1
23,22-24,Feminino,MG,Graduação/Bacharelado,Outras Engenharias,Empregado (CLT),Tecnologia/Fábrica de Software,de 101 a 500,0,,Analista de BI/BI Analyst/Analytics Engineer,Júnior,de R$ 1.001/mês a R$ 2.000/mês,Menos de 1 ano,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados,Modelo 100% remoto,Modelo 100% remoto,,Análise de Dados,"Dados relacionais (estruturados em bancos SQL), Textos/Documentos, Planilhas",1,0,0,1,0,0,1,0,"Dados relacionais (estruturados em bancos SQL), Planilhas",1,0,0,0,0,0,1,0,"SQL, Python",1,0,1,0,0,0,0,0,0,0,0,0,0,0,Python,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"MySQL, Google BigQuery, S3",1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"Google Cloud (GCP), Azure (Microsoft), Amazon Web Services (AWS)",1,1,1,0,0,0,0
23,22-24,Masculino,RJ,Estudante de Graduação,Economia/ Administração / Contabilidade / Finanças,Vivo no Brasil e trabalho remoto para empresa de fora do Brasil (PJ),Entretenimento ou Esportes,de 51 a 100,0,,Analista de Dados/Data Analyst,Júnior,de R$ 8.001/mês a R$ 12.000/mês,de 2 a 3 anos,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados,Modelo 100% remoto,Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente),,Análise de Dados,"Dados relacionais (estruturados em bancos SQL), Textos/Documentos, Planilhas, Dados georeferenciados",1,0,0,1,0,0,1,1,"Dados relacionais (estruturados em bancos SQL), Planilhas",1,0,0,0,0,0,1,0,"SQL, R, Python",1,1,1,0,0,0,0,0,0,0,0,0,0,0,SQL,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"Google BigQuery, Snowflake",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,Google Cloud (GCP),0,1,0,0,0,0,0
